,Sequence name,Sequence length,Number of unique pitches,Max velocity,Min velocity,Avg velocity,Median velocity,Velocity std,Highest pitch,Lowest pitch,Avg pitch,Median pitch,Pitch std,Longest note (s),Shortest note (s),Avg duration (s),Median duration (s),Duration std
604,HamSY08,1346,70,87,5,45.23,43.0,12.99,102,22,64.05,65.0,12.69,6.75,0.04,0.67,0.4,0.78
605,HamSY09,7619,87,126,2,64.79,66.0,19.44,107,21,62.51,63.0,17.86,6.63,0.0,0.12,0.06,0.31
606,HamSY10,10874,71,107,3,57.45,55.0,18.17,98,26,60.94,62.0,13.34,6.72,0.0,0.28,0.15,0.36
607,HamSY12,3538,68,107,4,56.58,55.0,19.12,98,29,61.8,63.0,12.62,1.81,0.0,0.29,0.26,0.23
608,Han01,6536,80,120,1,63.32,65.0,20.12,103,22,62.2,62.0,14.76,7.39,0.01,0.29,0.12,0.53
609,Han02,2347,68,113,3,59.17,60.0,16.33,101,30,72.2,75.0,13.66,3.98,0.02,0.11,0.06,0.23
610,Han03,4464,72,118,2,62.15,63.0,20.25,100,27,63.48,64.0,13.66,4.76,0.01,0.25,0.09,0.42
611,Hao01,4964,58,108,2,59.11,59.0,19.42,93,31,63.12,63.0,9.76,9.74,0.02,0.25,0.16,0.39
612,Hao02,4512,72,117,3,69.18,72.0,17.95,100,28,63.62,64.0,13.55,5.4,0.01,0.25,0.1,0.42
613,Hao03,4088,75,119,3,72.14,75.0,17.12,102,27,77.31,79.0,15.8,2.75,0.01,0.07,0.05,0.1
614,Hebert01,3520,63,106,2,70.81,71.0,13.45,90,26,61.43,62.0,13.14,3.29,0.0,0.17,0.09,0.21
615,Hebert03,1391,60,95,3,61.07,63.0,12.47,96,28,70.69,73.0,12.93,5.95,0.0,0.09,0.06,0.32
616,Hebert04,4869,72,106,3,64.63,66.0,16.85,100,28,64.12,64.0,12.7,6.89,0.0,0.14,0.07,0.25
617,Hirata01,1511,68,104,3,56.07,54.0,17.28,95,27,65.91,66.0,14.99,9.67,0.03,0.45,0.29,0.7
618,Hirata02,2120,64,114,3,73.46,73.0,13.65,92,24,57.72,55.0,14.7,3.63,0.0,0.16,0.08,0.28
619,Hirata03,5321,66,109,2,61.2,60.0,18.29,96,26,60.42,60.0,11.18,12.02,0.01,0.32,0.15,0.61
620,HONG01,2801,61,104,12,66.19,66.0,14.24,89,29,61.22,61.0,12.02,11.35,0.02,0.27,0.1,0.81
621,HONG02,3237,70,104,6,63.46,63.0,14.21,104,35,73.89,73.0,14.25,4.78,0.0,0.16,0.08,0.29
622,Giesbrecht01,1623,47,107,4,75.34,76.0,12.6,84,33,61.24,61.0,10.16,2.63,0.0,0.28,0.17,0.24
623,Gintov03,6382,85,124,2,74.77,78.0,20.42,106,21,61.41,61.0,16.26,5.31,0.0,0.16,0.08,0.32
624,GintovP08,20450,77,123,1,69.83,72.0,21.06,101,24,62.02,63.0,13.19,8.4,0.0,0.17,0.06,0.33
625,Goh01,3657,71,110,2,67.17,72.0,19.34,98,28,63.52,64.0,14.24,6.24,0.0,0.14,0.05,0.3
626,Goldberg03,4441,81,122,2,58.99,55.0,23.62,104,22,64.69,66.0,13.37,9.86,0.02,0.29,0.1,0.56
627,GonzalezJ05,1286,43,101,13,61.92,62.0,12.7,83,37,62.89,64.0,9.96,6.37,0.02,0.4,0.24,0.45
628,Gryaznov01,2026,48,97,3,65.14,67.0,13.45,87,33,67.25,68.0,9.56,5.33,0.0,0.17,0.05,0.39
629,Guo01,2200,46,107,3,73.64,75.0,12.66,82,36,62.51,62.0,9.11,10.02,0.0,0.4,0.16,0.73
630,Guzman01,1500,53,110,9,70.0,72.0,15.09,88,30,66.96,69.0,10.51,6.29,0.02,0.25,0.16,0.39
631,HAGINO01,6610,78,110,6,64.81,65.0,17.08,104,24,63.71,64.0,14.15,9.95,0.0,0.16,0.07,0.33
632,HamSY03,1367,57,89,10,54.29,54.0,15.58,89,29,65.39,67.0,11.21,5.26,0.03,0.55,0.38,0.66
633,HamSY11,7336,68,105,3,57.86,56.0,17.69,96,26,60.52,61.0,13.65,6.72,0.0,0.27,0.11,0.4
634,HONG04,4544,65,101,6,62.44,63.0,14.38,96,29,63.2,64.0,11.84,3.26,0.0,0.24,0.11,0.33
635,HONG05,4741,71,104,6,63.7,64.0,17.01,101,28,66.0,65.0,12.99,4.72,0.0,0.19,0.07,0.4
636,HONG06,5522,77,113,6,68.91,70.0,19.47,103,21,63.1,64.0,13.73,4.47,0.0,0.14,0.08,0.21
637,HONG07,2980,82,115,7,68.88,71.0,20.39,103,21,63.27,66.0,16.17,18.58,0.0,0.23,0.13,0.46
638,HONG08,12973,78,105,6,64.88,66.0,16.71,101,24,61.88,62.0,13.27,12.14,0.0,0.25,0.12,0.44
639,Hou01,2652,54,107,3,63.21,62.0,16.72,89,34,65.16,65.0,10.93,5.68,0.0,0.2,0.09,0.34
640,Hou02,3248,76,120,2,73.68,75.0,16.62,101,24,67.85,68.0,16.53,6.49,0.0,0.13,0.08,0.22
641,Hou03,7967,76,116,2,66.1,68.0,20.9,101,25,63.25,63.0,12.43,5.29,0.0,0.15,0.07,0.26
642,Hou05,5263,79,121,2,69.21,70.0,20.56,103,24,71.32,72.0,16.9,4.04,0.0,0.13,0.06,0.27
643,Hou06,2587,50,98,3,48.85,47.0,15.01,79,28,57.22,58.0,9.28,6.84,0.03,0.4,0.17,0.6
644,Hou07,10812,88,126,1,70.43,72.0,21.81,108,21,66.55,68.0,15.47,12.2,0.0,0.18,0.08,0.36
645,HouY01,3633,65,108,3,59.54,60.0,18.66,92,24,61.71,62.0,13.55,17.55,0.0,0.32,0.14,0.64
646,HouY02,1094,37,92,3,55.61,56.0,15.25,81,38,59.69,60.0,8.94,12.5,0.04,0.74,0.38,0.99
647,HouY03,12957,73,107,2,56.93,57.0,19.28,99,24,64.21,65.0,16.12,6.01,0.0,0.27,0.15,0.38
648,HouY04,5311,73,107,2,64.84,68.0,18.63,99,24,62.26,63.0,16.21,6.01,0.0,0.19,0.1,0.32
649,HouY06,15330,76,106,2,62.64,64.0,19.41,103,25,64.02,64.0,12.67,8.14,0.0,0.18,0.08,0.33
650,HouY07,16853,72,104,1,57.45,58.0,18.57,100,28,64.63,66.0,13.06,5.29,0.0,0.25,0.14,0.35
651,HouY08,5372,70,101,3,53.89,52.0,18.55,100,30,64.49,66.0,14.8,5.29,0.0,0.33,0.17,0.42
652,HouY09,2926,66,104,3,52.86,48.5,20.79,94,28,63.59,62.0,12.87,4.88,0.0,0.32,0.21,0.38
653,HouY10,2681,55,103,1,61.56,63.0,18.6,93,33,62.96,64.0,11.53,3.43,0.0,0.18,0.06,0.27
654,HouY11,5874,64,104,4,61.12,62.0,16.07,98,30,66.04,67.0,11.93,4.18,0.0,0.17,0.12,0.25
655,HSU01,3523,60,101,8,63.18,64.0,14.85,89,29,66.24,67.0,11.57,3.04,0.02,0.16,0.1,0.23
656,HSU02,1522,73,110,6,70.92,73.0,15.99,101,24,69.63,71.0,16.98,3.04,0.0,0.18,0.09,0.4
657,HSU04,10088,81,113,6,69.29,71.0,19.22,106,21,67.83,66.0,16.82,9.83,0.0,0.11,0.06,0.34
658,Huang08,3134,83,126,3,59.14,60.0,21.5,104,21,65.16,67.0,18.49,5.21,0.0,0.1,0.06,0.2
659,Huang09,8246,87,123,2,72.4,74.0,19.02,107,21,68.18,70.0,19.89,11.76,0.0,0.13,0.06,0.38
660,Huang10,4282,62,109,2,55.24,56.0,19.65,97,32,65.69,66.0,13.33,5.05,0.02,0.21,0.1,0.34
661,Huang11,11818,79,119,2,69.29,70.0,17.72,105,24,70.32,70.0,16.2,3.79,0.0,0.11,0.05,0.22
662,Huang12,7301,68,115,3,65.51,67.0,18.31,96,29,62.95,64.0,14.91,3.27,0.0,0.15,0.08,0.23
663,Huang13,636,73,117,2,77.12,77.0,15.34,105,24,61.48,58.0,19.09,5.05,0.02,0.21,0.07,0.6
664,Huang14,1911,73,107,3,56.0,54.0,17.81,101,29,62.24,62.0,13.15,9.52,0.0,0.38,0.23,0.53
665,Huang15,7158,82,120,2,72.33,74.0,18.36,106,22,64.85,65.0,15.71,14.03,0.0,0.1,0.05,0.36
666,Huang17,4057,76,121,3,70.76,71.0,17.96,104,28,65.39,65.0,16.1,7.09,0.0,0.12,0.07,0.27
667,Huang18,5113,78,115,3,63.77,64.0,21.07,101,24,62.7,62.0,15.14,15.86,0.0,0.27,0.11,0.76
668,Huangci01,4308,71,112,3,61.41,63.0,15.78,101,29,72.02,74.0,12.73,1.32,0.01,0.07,0.05,0.07
669,Huangci02,6381,68,121,2,63.5,64.0,19.12,96,29,62.08,63.0,15.87,4.5,0.02,0.16,0.08,0.28
670,Huangci03,8077,82,124,3,68.05,70.0,21.49,106,21,61.26,62.0,13.75,6.48,0.01,0.2,0.09,0.32
671,Huangci04,8130,81,122,2,68.44,72.0,22.73,106,21,61.21,62.0,13.8,4.94,0.01,0.2,0.09,0.32
672,Huangci05,3975,61,110,3,54.31,53.0,20.41,89,29,62.39,63.0,11.89,6.41,0.01,0.33,0.15,0.46
673,Huangci07,16966,86,126,1,69.22,72.0,21.06,106,21,65.65,65.0,16.62,5.0,0.0,0.09,0.05,0.18
674,Huangci08,18467,72,122,3,61.05,60.0,22.37,100,29,65.49,65.0,13.3,7.62,0.01,0.2,0.11,0.33
675,HuangSW01,2133,49,103,3,69.44,71.0,14.18,84,36,61.91,62.0,9.54,8.38,0.0,0.43,0.26,0.59
676,HuangSW02,13530,79,117,1,65.41,68.0,18.49,103,24,61.73,62.0,13.44,12.8,0.0,0.29,0.14,0.5
677,HuangSW03,5188,73,108,1,65.36,68.0,18.58,99,25,62.29,63.0,12.46,4.37,0.0,0.26,0.16,0.32
678,HuangSW04,1413,69,107,3,62.35,64.0,15.58,98,25,61.12,60.0,13.56,6.03,0.03,0.31,0.11,0.63
679,HuangSW06,5053,78,117,2,70.43,72.0,17.46,103,24,62.51,62.0,14.88,3.02,0.0,0.13,0.1,0.13
680,HuangSW07,7892,68,121,3,58.42,58.0,20.61,96,29,61.07,60.0,13.89,13.2,0.0,0.37,0.22,0.61
681,HuangSW08,2888,68,121,4,56.74,56.0,17.98,96,29,63.18,63.0,14.88,4.47,0.0,0.37,0.19,0.52
682,HuangSW09,1374,63,104,3,66.41,63.0,18.9,94,29,62.95,65.0,14.06,5.99,0.02,0.17,0.1,0.38
683,HuangSW10,3630,67,115,3,56.73,57.0,22.4,96,30,58.68,58.0,12.58,13.2,0.0,0.44,0.28,0.73
684,HuangSW11,18167,83,121,1,69.32,71.0,19.27,107,24,69.07,69.0,13.83,6.03,0.0,0.09,0.06,0.17
685,HuangSW12,3526,70,111,3,68.97,72.0,18.68,100,28,69.69,69.0,14.14,5.25,0.0,0.08,0.05,0.18
686,HuangSW13,3074,81,121,1,69.75,72.0,19.6,107,26,70.94,71.0,12.58,6.03,0.0,0.14,0.06,0.31
687,Huang02,6099,80,125,2,71.63,74.0,18.08,107,24,64.75,64.0,15.9,3.77,0.0,0.08,0.05,0.14
688,Huang03,11905,79,121,2,71.76,73.0,16.95,105,24,70.19,69.0,16.15,2.91,0.0,0.09,0.05,0.18
689,Huang04,2176,46,101,3,69.59,70.0,13.42,82,36,62.45,62.0,9.11,14.8,0.0,0.4,0.16,0.8
690,Huang05,3516,60,110,3,63.41,65.0,14.55,89,29,66.22,67.0,11.57,2.44,0.02,0.13,0.08,0.19
691,Huang06,3181,85,122,3,66.53,66.0,17.04,108,21,67.05,68.0,14.87,3.38,0.0,0.11,0.08,0.14
692,HUAN_B01,2921,68,101,6,53.06,52.0,16.04,96,29,62.85,63.0,14.83,4.59,0.02,0.33,0.19,0.45
693,HUAN_B02,7550,87,113,6,64.09,65.0,18.78,107,21,62.79,63.0,17.5,6.13,0.0,0.1,0.05,0.25
694,HUAN_B03,4290,71,100,6,63.85,66.0,14.15,101,29,72.05,74.0,12.9,2.22,0.0,0.07,0.05,0.08
695,HUAN_B04,4880,78,109,6,73.35,78.0,18.33,102,25,64.59,64.0,15.87,4.51,0.0,0.13,0.06,0.26
696,HUAN_J01,3526,60,97,6,62.61,64.0,15.03,89,29,66.23,67.0,11.59,2.52,0.0,0.15,0.09,0.23
697,HUAN_J02,6026,77,110,6,62.21,63.0,16.84,101,24,64.12,64.0,13.29,5.99,0.0,0.22,0.09,0.38
698,HUAN_J03,4249,76,117,8,70.73,72.0,16.79,102,26,77.48,79.0,15.71,1.97,0.0,0.06,0.05,0.08
699,HUAN_J05,12231,63,108,6,66.35,68.0,16.49,89,26,63.42,65.0,13.19,8.19,0.0,0.23,0.08,0.48
700,HUAN_J06,6022,77,108,6,62.91,64.0,17.08,101,24,64.07,64.0,13.29,5.35,0.0,0.23,0.09,0.37
701,HUAN_J07,4282,79,110,6,63.34,64.0,18.34,107,21,63.9,65.0,14.04,4.21,0.0,0.16,0.05,0.29
702,HUAN_J08,16164,76,111,6,65.64,67.0,18.63,103,25,64.28,64.0,12.58,9.61,0.0,0.17,0.08,0.34
703,HuNY02,3306,64,114,3,59.95,59.0,17.83,96,29,64.0,65.0,13.14,3.35,0.0,0.25,0.1,0.39
704,HuNY03,2124,65,119,3,70.85,71.0,18.34,92,24,57.56,55.0,14.72,3.03,0.0,0.17,0.08,0.3
705,HuNY04,1839,65,103,3,54.64,53.0,18.58,101,32,67.05,66.0,12.85,8.39,0.03,0.37,0.24,0.57
706,HONG03,5557,77,110,6,68.31,69.0,17.49,103,21,63.17,64.0,13.67,5.08,0.0,0.15,0.09,0.23
707,Hou04,6118,75,126,2,70.13,72.0,21.66,96,21,61.82,63.0,14.72,4.39,0.0,0.19,0.09,0.32
708,HouY05,7646,70,106,3,51.44,49.0,17.75,96,26,65.56,67.0,15.92,4.99,0.0,0.32,0.19,0.41
709,HSU03,1812,67,113,7,61.53,57.0,20.97,95,27,62.43,63.0,13.24,5.52,0.0,0.4,0.24,0.54
710,Huang01,3492,60,108,2,65.93,67.0,13.89,89,29,66.21,67.0,11.6,2.47,0.0,0.13,0.08,0.18
711,Huang07,8649,79,121,2,70.49,72.0,18.27,103,24,68.08,68.0,16.8,6.46,0.0,0.09,0.05,0.24
712,Huang16,4243,71,110,3,61.43,63.0,15.69,101,29,71.93,74.0,12.77,1.23,0.0,0.07,0.05,0.08
713,Huangci06,13106,78,126,2,62.55,64.0,19.83,101,24,61.84,62.0,13.37,9.33,0.01,0.24,0.1,0.44
714,HuangSW05,1876,55,95,3,54.31,53.0,17.58,85,25,58.54,59.0,11.17,12.8,0.0,0.8,0.52,0.9
715,HuangSW14,11567,80,120,1,69.31,71.0,19.36,105,24,68.38,69.0,13.99,3.89,0.0,0.09,0.06,0.09
716,HUAN_J04,931,47,93,18,52.12,52.0,16.86,77,22,53.24,56.0,12.67,6.55,0.03,0.55,0.37,0.6
717,HuNY01,1516,46,96,3,58.63,60.0,14.89,84,38,64.29,65.0,9.67,11.45,0.03,0.62,0.46,0.64
718,HuNY06,3151,70,107,7,64.15,64.0,15.15,101,30,65.18,65.0,13.18,4.45,0.02,0.17,0.1,0.24
719,HuNY07,7281,69,118,3,63.7,64.0,19.54,96,28,63.03,64.0,14.97,3.61,0.0,0.16,0.09,0.24
720,HuNY08,6012,78,124,3,66.95,68.0,19.85,101,24,64.98,64.0,14.41,4.15,0.0,0.17,0.08,0.29
721,HuNY09,9731,78,119,3,63.65,64.0,19.19,101,24,68.02,68.0,14.56,4.2,0.0,0.14,0.08,0.22
722,Hwang01,3316,61,103,3,66.46,67.0,14.44,89,29,68.14,70.0,11.87,3.89,0.02,0.21,0.12,0.32
723,Hwang02,9568,87,120,3,68.53,71.0,18.86,108,21,62.98,63.0,16.54,2.5,0.01,0.14,0.09,0.16
724,Hwang03,4096,76,123,3,73.84,75.0,17.83,104,28,65.23,64.0,16.07,1.79,0.01,0.13,0.09,0.13
725,ISHIDA02,3333,61,102,9,65.7,66.0,13.88,89,29,68.14,70.0,11.89,8.54,0.01,0.23,0.14,0.33
726,ISHIDA03,4803,73,119,6,71.58,74.0,19.63,98,22,60.63,61.0,14.11,13.4,0.0,0.22,0.09,0.62
727,ISHIDA04,1406,74,101,6,73.14,75.0,13.97,101,24,69.32,71.0,17.0,3.4,0.0,0.19,0.08,0.44
728,IVLEVA02,2304,71,101,8,63.35,64.0,14.21,101,25,69.49,69.0,15.45,2.47,0.0,0.13,0.09,0.17
729,IVLEVA03,3709,76,108,6,63.61,65.0,19.29,103,23,66.95,67.0,13.3,6.76,0.0,0.19,0.11,0.28
730,IVLEVA04,7311,81,115,6,66.57,68.0,18.88,104,24,68.15,68.0,17.9,3.99,0.0,0.15,0.07,0.26
731,IVLEVA06,11315,73,113,6,66.16,69.0,20.22,98,26,61.71,62.0,12.99,12.35,0.0,0.28,0.17,0.39
732,IVLEVA07,3757,76,115,6,67.39,70.0,20.77,103,23,66.96,67.0,13.37,7.3,0.0,0.2,0.11,0.3
733,IVLEVA08,7567,81,116,6,68.75,71.0,20.14,104,24,68.21,68.0,17.96,5.15,0.0,0.15,0.07,0.26
734,IVLEVA09,9692,82,122,6,70.91,76.0,23.4,107,22,61.84,62.0,14.8,9.32,0.0,0.27,0.11,0.5
735,Izzard02,3357,74,106,3,69.53,70.0,17.02,103,27,64.03,63.0,15.53,4.2,0.01,0.14,0.06,0.3
736,Izzard03,4643,81,103,3,53.94,53.0,14.65,105,23,71.25,73.0,12.53,5.71,0.02,0.15,0.07,0.3
737,Izzard04,10043,80,114,3,64.57,65.0,17.11,105,24,66.61,68.0,15.82,4.06,0.0,0.14,0.08,0.22
738,JeonH02,1375,60,102,3,67.21,68.0,11.67,96,28,70.61,73.0,12.96,6.58,0.0,0.09,0.07,0.29
739,JeonH03,3499,60,105,3,66.02,68.0,17.17,89,29,66.3,67.0,11.6,2.57,0.0,0.15,0.09,0.21
740,JeonH04,3601,68,113,3,65.87,67.0,20.9,101,29,66.05,65.0,13.1,3.58,0.0,0.14,0.08,0.2
741,JeonH05,5938,78,116,3,66.52,70.0,19.19,101,24,64.09,64.0,13.3,4.42,0.0,0.24,0.11,0.36
742,JeonH06,2570,49,94,3,44.62,41.0,17.27,79,29,57.18,58.0,9.31,4.78,0.03,0.42,0.2,0.57
743,JeonH07,7463,74,117,3,67.67,71.0,21.65,103,26,61.26,62.0,11.32,5.37,0.0,0.21,0.07,0.4
744,JeonH08,12612,74,123,3,69.29,72.0,22.53,99,24,62.0,63.0,12.93,4.63,0.0,0.17,0.07,0.3
745,Jia01,1436,60,95,9,66.89,68.0,11.92,96,28,70.74,74.0,12.81,6.02,0.02,0.1,0.07,0.31
746,Jia02,4344,61,112,3,72.83,73.0,17.47,89,29,64.35,65.0,11.97,7.86,0.02,0.23,0.09,0.53
747,Jia03,8526,77,111,2,71.04,75.0,21.0,101,24,60.96,61.0,13.13,6.37,0.0,0.18,0.1,0.32
748,Jia04,7267,57,105,3,62.67,64.0,14.49,88,30,67.95,69.0,10.9,3.6,0.02,0.17,0.07,0.24
749,JIa05,12418,83,126,1,68.15,71.0,20.85,104,21,64.1,64.0,17.63,7.91,0.0,0.14,0.06,0.36
750,Jia06,13584,71,118,2,62.07,63.0,18.74,98,24,60.5,62.0,11.72,7.9,0.0,0.31,0.12,0.59
751,Jia07,4237,75,117,3,58.85,59.0,16.09,107,21,73.27,74.0,13.4,4.97,0.0,0.12,0.07,0.18
752,Jia08,4342,68,120,2,69.45,70.0,17.98,95,21,63.84,64.0,13.16,0.58,0.0,0.05,0.04,0.04
753,Jin01,1559,42,99,4,70.02,71.0,10.77,84,36,62.1,63.0,10.22,3.35,0.0,0.35,0.24,0.42
754,Jin03,3947,76,116,3,72.79,76.0,20.35,102,21,60.99,62.0,13.7,4.28,0.0,0.13,0.06,0.23
755,Jin04,5525,73,112,2,71.38,73.0,16.55,101,29,66.41,67.0,13.86,5.46,0.0,0.16,0.11,0.22
756,Jin05,4917,62,106,3,66.0,66.0,16.8,92,29,59.39,59.0,11.27,5.72,0.0,0.23,0.08,0.38
757,Jin06,5592,77,110,3,75.28,79.0,17.36,103,21,63.23,64.0,13.79,5.49,0.0,0.13,0.07,0.23
758,Jin07,7245,80,121,3,72.72,75.0,19.69,104,25,60.15,61.0,16.97,10.42,0.0,0.25,0.08,0.55
759,JohannsonP02,1423,59,112,3,62.99,65.0,17.91,100,33,65.88,66.0,10.27,0.93,0.0,0.12,0.09,0.1
760,JohannsonP03,2784,67,106,3,55.95,56.0,18.89,93,24,60.27,62.0,11.97,19.63,0.02,0.36,0.16,0.89
761,JohannsonP04,1718,63,109,3,67.78,70.0,19.7,94,24,58.99,60.0,11.78,4.52,0.0,0.22,0.1,0.41
762,JohannsonP05,654,51,99,3,45.04,44.0,17.73,82,26,55.5,57.0,10.9,13.77,0.04,0.73,0.37,1.13
763,JohannsonP06,1806,63,103,7,61.17,62.0,18.0,91,26,60.96,62.0,12.02,5.18,0.0,0.16,0.08,0.31
764,JohannsonP07,701,50,101,3,47.42,43.0,21.76,79,26,57.16,58.0,10.47,15.47,0.03,1.22,0.31,2.03
765,JohannsonP08,1531,56,112,2,72.5,75.0,18.33,89,31,60.86,62.0,11.33,9.54,0.0,0.13,0.08,0.41
766,JohannsonP09,2002,57,113,3,62.67,63.0,18.18,84,24,59.52,62.0,11.79,3.56,0.0,0.14,0.05,0.36
767,JohannsonP11,12753,86,124,3,64.92,66.0,20.51,107,21,61.52,62.0,15.57,21.22,0.0,0.24,0.08,0.61
768,JohannsonP12,4978,79,124,6,65.23,66.0,20.94,101,21,61.46,62.0,15.35,21.22,0.0,0.36,0.12,0.88
769,JohannsonP13,1607,66,97,3,49.22,48.0,17.31,94,29,62.37,64.0,13.34,4.62,0.0,0.27,0.15,0.41
770,JohannsonP14,6168,84,121,3,68.76,71.0,18.94,107,21,61.34,61.0,16.26,5.04,0.0,0.13,0.06,0.31
771,JohannsonP15,21521,73,108,1,54.41,54.0,18.37,101,28,63.25,64.0,12.86,14.77,0.0,0.22,0.08,0.53
772,JohannsonP16,10590,70,105,3,51.96,50.0,17.99,101,29,62.52,64.0,12.65,9.7,0.0,0.22,0.09,0.47
773,JohannsonP17,2284,59,93,3,43.67,42.0,16.49,88,28,57.01,59.0,12.91,14.77,0.03,0.61,0.24,1.11
774,JohannsonP19,5558,71,108,1,60.63,61.0,18.75,101,29,64.82,65.0,13.11,4.92,0.0,0.13,0.07,0.23
775,JohannsonP20,7816,68,104,3,55.87,55.0,18.7,96,29,62.5,63.0,15.56,6.46,0.0,0.26,0.15,0.34
776,JohannsonP21,997,51,89,6,51.06,52.0,14.09,95,30,66.2,69.0,13.83,6.46,0.03,0.34,0.22,0.47
777,JohannsonP22,1467,60,103,3,58.23,58.0,17.92,93,29,62.23,62.0,12.27,2.38,0.03,0.19,0.12,0.22
778,JohannsonP23,762,50,90,5,50.05,50.0,15.11,96,34,67.58,68.0,14.75,4.94,0.02,0.27,0.15,0.45
779,JohannsonP24,2130,61,104,3,65.66,66.0,17.74,95,30,60.04,60.0,17.28,1.61,0.02,0.2,0.1,0.21
780,JohannsonP25,805,51,91,8,43.52,42.0,15.25,93,35,64.74,66.0,12.88,2.44,0.04,0.57,0.46,0.42
781,JohannsonP27,5636,58,105,2,49.31,48.0,20.39,101,29,63.66,64.0,10.22,9.0,0.0,0.21,0.1,0.36
782,JohannsonP28,1389,40,105,2,61.55,63.0,18.78,101,29,64.99,67.0,11.42,2.17,0.0,0.08,0.05,0.11
783,JohannsonP29,780,48,89,3,49.07,48.0,18.16,100,40,64.53,64.0,11.86,6.6,0.03,0.22,0.09,0.44
784,JohannsonP30,1872,37,94,3,47.19,45.0,18.93,87,40,63.51,63.0,8.85,2.88,0.02,0.22,0.12,0.27
785,JohannsonP31,1595,39,102,3,41.24,37.0,19.45,88,40,62.25,62.0,9.53,9.0,0.0,0.3,0.19,0.5
786,Jussow02,5477,73,116,2,65.01,67.0,18.75,99,24,62.42,63.0,16.15,3.44,0.0,0.18,0.07,0.34
787,Jussow03,1406,74,112,3,71.69,74.0,14.74,101,23,69.08,71.0,17.08,2.88,0.0,0.16,0.07,0.35
788,Jussow04,5998,78,117,2,63.5,65.0,18.69,103,24,64.86,64.0,14.44,5.67,0.0,0.18,0.07,0.38
789,Jussow05,3109,85,126,3,69.89,72.0,21.37,106,21,69.09,73.0,18.94,29.65,0.0,0.37,0.04,1.77
790,Jussow06,13868,73,114,3,56.76,56.0,20.47,99,24,64.52,67.0,15.89,6.1,0.0,0.24,0.1,0.37
791,Jussow07,994,47,86,7,56.02,55.0,11.44,84,36,62.72,63.0,10.8,4.5,0.03,0.16,0.13,0.24
792,Jussow08,1383,42,94,4,60.73,61.0,11.18,84,38,62.64,64.0,10.45,2.73,0.0,0.07,0.04,0.14
793,Jussow09,1756,60,103,3,50.62,49.0,16.49,92,27,58.68,60.0,11.08,17.61,0.02,0.47,0.25,0.97
794,Jussow10,6446,81,119,3,61.24,63.0,20.4,103,22,62.37,63.0,14.83,7.93,0.0,0.25,0.08,0.52
795,ISHIDA01,1195,47,87,19,53.37,52.0,12.46,77,22,53.14,56.0,12.68,5.48,0.04,0.51,0.34,0.52
796,IVLEVA01,2978,60,105,6,61.93,64.0,18.63,89,29,63.17,64.0,13.91,3.58,0.0,0.22,0.09,0.33
797,IVLEVA05,5888,50,100,6,63.97,66.0,15.63,89,36,66.21,67.0,11.12,3.25,0.0,0.22,0.11,0.3
798,Izzard01,1509,68,94,5,58.22,58.0,14.69,95,27,65.98,66.0,14.98,5.1,0.03,0.33,0.22,0.46
799,JeonH01,2178,46,109,3,73.8,77.0,15.98,82,36,62.43,62.0,9.11,13.21,0.0,0.41,0.14,0.89
800,Jin02,3509,60,104,3,71.87,73.0,14.11,89,29,66.11,67.0,11.58,2.21,0.0,0.13,0.08,0.18
801,JohannsonP01,12621,73,113,2,61.13,63.0,20.06,100,24,60.36,62.0,11.78,19.63,0.0,0.29,0.09,0.82
802,JohannsonP10,6005,82,112,3,61.92,65.0,20.36,108,24,63.71,65.0,15.26,16.86,0.0,0.13,0.06,0.33
803,JohannsonP18,3089,57,100,3,59.52,61.0,14.36,94,29,67.56,66.0,10.88,2.09,0.0,0.09,0.06,0.13
804,JohannsonP26,1655,58,104,3,52.78,52.0,19.56,96,32,60.27,59.0,17.13,1.88,0.0,0.22,0.15,0.26
805,Jussow01,3157,85,122,2,68.13,70.0,21.13,106,21,69.03,73.0,18.71,25.56,0.0,0.35,0.04,1.65
806,KabuliL08,22416,83,121,3,61.56,63.0,18.65,105,21,62.94,64.0,13.6,5.52,0.01,0.2,0.1,0.34
807,KabuliL09,7097,72,107,3,58.62,60.0,19.52,100,28,64.1,64.0,13.23,5.52,0.01,0.3,0.14,0.46
808,KabuliL10,2412,68,106,5,57.73,58.0,19.6,100,29,63.21,64.0,13.85,3.76,0.02,0.34,0.19,0.43
809,KabuliL11,1321,48,100,3,43.21,39.0,17.42,88,33,60.77,61.0,10.36,5.52,0.03,0.57,0.29,0.73
810,KabuliL12,3364,71,107,4,65.31,67.0,16.45,100,28,66.06,66.0,13.45,3.2,0.01,0.16,0.1,0.24
811,KabuliL13,8098,83,121,3,63.21,65.0,18.17,105,21,61.89,62.0,12.48,4.18,0.01,0.17,0.09,0.26
812,KabuliL14,4292,79,121,3,66.44,67.0,17.54,100,21,61.06,62.0,12.9,3.61,0.01,0.11,0.06,0.16
813,KabuliL15,1442,59,100,3,57.37,58.0,17.99,105,31,63.73,64.0,12.0,4.18,0.03,0.29,0.15,0.4
814,KaiRuiR01,2400,46,101,3,72.07,76.0,15.47,83,37,62.02,62.0,9.61,16.36,0.01,0.4,0.23,0.72
815,KaiRuiR02,8521,64,114,3,67.09,68.0,15.55,93,29,61.81,60.0,15.57,9.69,0.0,0.17,0.08,0.38
